instance,family,scale,variant,noise_percent,seed,variables,clauses,direct_structural_clauses,encoded_structural_clauses,noise_clauses,boxes,resources,demands,capacities,reachable,expected_result,cnf_sha256
026_hidden_pigeonhole_default_scale7.cnf,hidden_pigeonhole,7,default,0,31026,294,490,238,490,0,7,6,"[1,1,1,1,1,1,1]","[1,1,1,1,1,1]","[[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5],[0,1,2,3,4,5]]",UNSATISFIABLE,4d9dd3cc946b1cb41cf2588d4959553327f880fb202f6d58079abcafff488aca
027_hidden_pigeonhole_default_scale8.cnf,hidden_pigeonhole,8,default,0,31027,452,768,372,768,0,8,7,"[1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6]]",UNSATISFIABLE,386c49b25cad33f8151a36da3dad7e52dafbbd8f5b15d6ed6fb25b8f8ba23e2d
028_hidden_pigeonhole_default_scale9.cnf,hidden_pigeonhole,9,default,0,31028,657,1134,549,1134,0,9,8,"[1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7]]",UNSATISFIABLE,3a5822826ec44cf8b531d493cbbb56d97461ac05f944d9a465294eae9e9b5fc1
029_hidden_pigeonhole_default_scale10.cnf,hidden_pigeonhole,10,default,0,31029,915,1600,775,1600,0,10,9,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8]]",UNSATISFIABLE,d8e7d01d43e9324726d6847a7e08ba8ab1d3c4cf58ee972f5bfda956cfe44d8d
030_satisfiable_capacity_control_default_scale8.cnf,satisfiable_capacity_control,8,default,0,31030,64,456,456,456,0,8,8,"[1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7]]",SATISFIABLE,beaa2652aec859ccc8f5f08c75b6d8da07ae1627531d0793c6729badfcf7a87e
031_satisfiable_capacity_control_default_scale12.cnf,satisfiable_capacity_control,12,default,0,31031,144,1596,1596,1596,0,12,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11],[0,1,2,3,4,5,6,7,8,9,10,11]]",SATISFIABLE,f672ea09eee2a7e731154962b986c6834980ebf11e49ef430c4f7d358670b2d7
032_satisfiable_capacity_control_default_scale16.cnf,satisfiable_capacity_control,16,default,0,31032,256,3856,3856,3856,0,16,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]]",SATISFIABLE,b5d64c309272d6ec870280fc43f3f1079df3417f2226dc1393fbe87ea54bdc3d
033_satisfiable_capacity_control_default_scale20.cnf,satisfiable_capacity_control,20,default,0,31033,400,7620,7620,7620,0,20,20,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]",SATISFIABLE,f59b6bfe14bf92ce5b04bfd080f3c777e071c2c85e19531fdc273d028ea6a9af
034_satisfiable_capacity_control_default_scale24.cnf,satisfiable_capacity_control,24,default,0,31034,576,13272,13272,13272,0,24,24,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23],[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]]",SATISFIABLE,11db98ee599a19ff00d4121e5cda400cd504ad62391a24b08558c8433d8128f1
035_random_3sat_uniform_scale150.cnf,random_3sat,150,uniform,0,31035,150,639,0,0,639,0,0,[],[],[],TO_VALIDATE,d3cdad761a797fc6bb525744e20d8dd35086bc6158c9fdd707a99843578872c4
036_random_3sat_planted_sat_scale150.cnf,random_3sat,150,planted_sat,0,31036,150,639,0,0,639,0,0,[],[],[],SATISFIABLE,d7287a0be3355d9645c05692f7dbb2355004a814a1bd8dd1c265f75bbdeb22bb
037_random_3sat_uniform_scale250.cnf,random_3sat,250,uniform,0,31037,250,1065,0,0,1065,0,0,[],[],[],TO_VALIDATE,81123137c1a2a20a09fca045cb353e999f58ecd04a2d569dd34b9092ac75f3f8
038_random_3sat_planted_sat_scale250.cnf,random_3sat,250,planted_sat,0,31038,250,1065,0,0,1065,0,0,[],[],[],SATISFIABLE,cd9daa4efb7c36a6a2cb14a0965d0c0b30f9207b6c6922bffa0605e45d64ccd9
039_random_3sat_uniform_scale400.cnf,random_3sat,400,uniform,0,31039,400,1704,0,0,1704,0,0,[],[],[],TO_VALIDATE,e73e416f99d4a988b9a594e16627c841d27d87f652c95d1fd94b6fce7faf993e
040_random_3sat_planted_sat_scale400.cnf,random_3sat,400,planted_sat,0,31040,400,1704,0,0,1704,0,0,[],[],[],SATISFIABLE,786f09b40adbd0d1f1c40d80f16d4ae80aab8f57d4256382c2b6d568b74ded30
041_random_3sat_uniform_scale600.cnf,random_3sat,600,uniform,0,31041,600,2556,0,0,2556,0,0,[],[],[],TO_VALIDATE,fd2f0e817612d2db5b86c5185258e28a339988d13fe2a5bd1b5cb1e7cbae3bbb
042_random_3sat_planted_sat_scale600.cnf,random_3sat,600,planted_sat,0,31042,600,2556,0,0,2556,0,0,[],[],[],SATISFIABLE,22cf3d1b7643b996d8ffcbb26687addabf90095bbf246a99e98446ebf112f92d
043_random_3sat_uniform_scale800.cnf,random_3sat,800,uniform,0,31043,800,3408,0,0,3408,0,0,[],[],[],TO_VALIDATE,cdc5f67625906960b95a3eb274a734adec7c4a7243685c459781b41321851063
044_random_3sat_planted_sat_scale800.cnf,random_3sat,800,planted_sat,0,31044,800,3408,0,0,3408,0,0,[],[],[],SATISFIABLE,26befeea6d191a36d3a90996268db3df22b5c4f4cc0f8cc1826ca182e57d5a87
