seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,mismatch
500165,1,3,[2],"[1,3,2]","[[0,2]]",FEASIBLE,FEASIBLE,null,0.004474000,0.015681000,False
500166,5,3,"[2,1,1,1,2]","[2,2,2]","[[0,1,2],[0,1],[0,1,2],[0],[1,2]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.092448000,0.068170000,False
500167,6,6,"[3,2,3,2,2,3]","[3,3,2,3,1,2]","[[0,4,5],[3,5],[1,2,3,4],[0,1,2,3,4,5],[2,3,4,5],[0,1,2,3,4,5]]",UNSAT,UNSAT,"[0,1,2,4,5]",0.312678000,0.178763000,False
500168,3,5,"[1,2,2]","[3,2,1,1,2]","[[0,1,3,4],[2,3],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.031468000,0.031362000,False
500169,2,7,"[3,1]","[2,1,2,3,3,1,2]","[[0,1,2,3,4,5],[2]]",FEASIBLE,FEASIBLE,null,0.017887000,0.027750000,False
500170,5,7,"[2,3,2,1,3]","[3,1,1,1,3,1,1]","[[0,2,3,4,5],[0,1,4,6],[1,2,3,5],[0,1],[0,1,2,3,4,6]]",FEASIBLE,FEASIBLE,null,0.184669000,0.074678000,False
500171,7,5,"[1,2,2,2,3,1,1]","[1,3,1,2,3]","[[4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[1,2,4],[0,1,2,3,4],[1,3]]",UNSAT,UNSAT,"[0,1,2,3,4,5]",0.559722000,0.139478000,False
500172,7,6,"[2,1,1,2,2,3,3]","[2,1,2,1,1,2]","[[1,2,4],[1,4,5],[0,1,2,3,4,5],[0,1,2,4],[0,1,2,3,4,5],[1,3,4,5],[0,1,2,3,4,5]]",UNSAT,UNSAT,"[0,1,5,6]",0.376297000,0.109038000,False
500173,6,7,"[1,3,3,2,1,3]","[1,1,1,1,3,3,1]","[[1,4],[0,1,2,6],[0,1,2,4,6],[0,2,3,5,6],[3],[0,1,3,4,5,6]]",UNSAT,UNSAT,"[1,2]",0.065226000,0.116369000,False
500174,1,2,[1],"[3,3]",[[0]],FEASIBLE,FEASIBLE,null,0.004030000,0.012330000,False
500175,3,3,"[1,1,3]","[1,1,1]","[[1],[2],[0,1,2]]",UNSAT,UNSAT,"[0,2]",0.015573000,0.035595000,False
500176,5,7,"[2,3,1,2,2]","[3,1,3,1,3,1,3]","[[0,1,2,4,5],[0,1,3],[0,2,4,6],[0,1,3,5],[0,1,4,5]]",FEASIBLE,FEASIBLE,null,0.182078000,0.075501000,False
500177,7,6,"[2,1,1,1,1,1,1]","[2,1,3,2,2,3]","[[3,4],[1,2,3],[0,1,2,3,4,5],[3,4],[2,4],[1],[1]]",UNSAT,UNSAT,"[5,6]",0.131770000,0.173032000,False
500178,2,3,"[2,1]","[2,2,1]","[[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.014927000,0.035509000,False
500179,1,4,[2],"[3,2,3,3]","[[0,1,3]]",FEASIBLE,FEASIBLE,null,0.005541000,0.018261000,False
500180,6,7,"[1,1,1,2,2,2]","[3,3,2,1,2,1,2]","[[5],[5],[1,2,4,5,6],[0,3,5,6],[0,1,2,3,4,5],[1,2,3]]",UNSAT,UNSAT,"[0,1]",0.037491000,0.086389000,False
500181,7,5,"[3,1,1,1,1,1,3]","[1,2,2,1,3]","[[0,1,2,3,4],[0,2,3,4],[0],[0],[0,1],[0,2,3,4],[0,2,3,4]]",UNSAT,UNSAT,"[2,3]",0.073245000,0.103977000,False
500182,7,6,"[1,1,1,2,1,3,2]","[3,2,2,3,3,3]","[[2],[0,1,2,3,4,5],[0,3],[0,1,2,4,5],[1,2,4],[0,1,2,4,5],[0,4]]",FEASIBLE,FEASIBLE,null,0.765597000,0.100815000,False
500183,6,3,"[1,2,2,2,1,1]","[2,2,1]","[[1,2],[0,1,2],[0,1,2],[0,2],[0],[2]]",UNSAT,UNSAT,"[3,5]",0.057414000,0.057298000,False
500184,1,5,[2],"[2,2,3,3,2]","[[0,4]]",FEASIBLE,FEASIBLE,null,0.005626000,0.023433000,False
500185,4,3,"[1,3,1,1]","[3,2,1]","[[2],[0,1,2],[1],[2]]",UNSAT,UNSAT,"[0,1]",0.024033000,0.040987000,False
500186,7,3,"[1,1,2,1,1,2,1]","[1,1,2]","[[0,1],[0,1],[0,1,2],[1],[0,1],[0,2],[2]]",UNSAT,UNSAT,"[0,1,2]",0.077489000,0.064843000,False
500187,2,3,"[1,1]","[3,2,3]","[[1],[0,1]]",FEASIBLE,FEASIBLE,null,0.010556000,0.018165000,False
500188,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.006326000,0.014889000,False
500189,5,5,"[2,2,3,1,3]","[2,1,3,2,3]","[[0,1,2,4],[0,1,2,3,4],[0,1,2,3],[0,1,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.134132000,0.076800000,False
500190,7,7,"[1,3,1,3,3,1,2]","[3,2,2,1,3,2,3]","[[1],[0,1,2,5,6],[4],[1,3,6],[1,2,4,5],[4,6],[0,1,2,3,5,6]]",FEASIBLE,FEASIBLE,null,0.767128000,0.188082000,False
500191,4,5,"[3,2,2,1]","[2,2,3,2,3]","[[0,1,2,3,4],[1,2,3],[0,1],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.062472000,0.066384000,False
500192,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,null,0.011756000,0.019098000,False
500193,4,6,"[3,1,3,2]","[3,2,3,2,2,3]","[[0,1,2,3,4,5],[0,1,2,3,4,5],[0,3,4],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.071602000,0.048241000,False
500194,7,4,"[1,1,2,1,1,3,1]","[2,1,1,3]","[[0,1],[1],[0,1,3],[0,2,3],[1],[0,1,2,3],[1]]",UNSAT,UNSAT,"[1,4]",0.051519000,0.097013000,False
500195,3,7,"[1,2,1]","[1,1,3,2,1,2,3]","[[5],[0,1,2,3,4,5,6],[1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.038882000,0.032220000,False
500196,1,7,[3],"[2,1,2,1,3,1,2]","[[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,null,0.006648000,0.022980000,False
500197,3,7,"[2,3,1]","[2,2,3,1,3,3,3]","[[0,1],[0,2,3,4,5],[6]]",FEASIBLE,FEASIBLE,null,0.037923000,0.031677000,False
500198,7,3,"[2,2,1,1,1,3,2]","[2,1,1]","[[0,1,2],[0,1],[0,1],[1],[2],[0,1,2],[0,1]]",UNSAT,UNSAT,"[0,5]",0.031151000,0.058360000,False
500199,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.056187000,0.039139000,False
500200,3,1,"[1,1,1]",[2],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.016453000,0.041692000,False
500201,1,4,[1],"[2,2,2,1]",[[3]],FEASIBLE,FEASIBLE,null,0.005013000,0.013505000,False
500202,5,3,"[1,2,2,1,1]","[1,1,1]","[[2],[0,1,2],[0,1,2],[1,2],[2]]",UNSAT,UNSAT,"[0,4]",0.022909000,0.162767000,False
500203,6,3,"[2,1,1,2,3,2]","[2,2,2]","[[1,2],[0,2],[1],[1,2],[0,1,2],[0,1]]",UNSAT,UNSAT,"[0,2,3]",0.065574000,0.053201000,False
500204,1,7,[1],"[2,3,2,3,3,1,3]",[[4]],FEASIBLE,FEASIBLE,null,0.006172000,0.013899000,False
500205,7,3,"[3,1,1,2,1,1,2]","[3,1,2]","[[0,1,2],[0],[2],[0,1],[0,1],[0,2],[0,1,2]]",UNSAT,UNSAT,"[0,3]",0.024725000,0.058078000,False
500206,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.021152000,0.033010000,False
500207,5,1,"[1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.033757000,0.033087000,False
500208,5,2,"[1,1,1,1,2]","[3,3]","[[0],[0,1],[0],[0,1],[0,1]]",FEASIBLE,FEASIBLE,null,0.061602000,0.040953000,False
500209,2,5,"[2,1]","[1,1,1,3,2]","[[0,2,3,4],[0,1,3]]",FEASIBLE,FEASIBLE,null,0.013157000,0.022840000,False
500210,2,4,"[1,2]","[1,1,3,2]","[[0],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.011068000,0.027703000,False
500211,1,2,[1],"[2,3]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.003799000,0.011946000,False
500212,6,7,"[1,2,1,3,1,2]","[2,1,3,1,2,2,2]","[[2],[1,2,3,5,6],[3],[0,1,2,4,5,6],[0,1,2,3,4,5,6],[3,4,6]]",FEASIBLE,FEASIBLE,null,0.360452000,0.054587000,False
500213,5,4,"[1,1,2,1,1]","[3,3,2,3]","[[1,3],[2],[0,1,2,3],[0],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.103043000,0.032570000,False
500214,7,4,"[1,3,1,3,1,2,3]","[3,2,3,1]","[[0,1],[0,1,2,3],[0,1,2,3],[0,1,3],[0,1,2,3],[1,2],[1,2,3]]",UNSAT,UNSAT,"[3,6]",0.075833000,0.073661000,False
500215,7,2,"[1,1,2,1,2,1,1]","[2,3]","[[0,1],[0],[0,1],[1],[0,1],[0,1],[0]]",UNSAT,UNSAT,"[1,2,4]",0.084329000,0.138222000,False
500216,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.054519000,0.037792000,False
500217,4,2,"[1,1,1,1]","[2,1]","[[0,1],[1],[0],[1]]",UNSAT,UNSAT,"[1,3]",0.017793000,0.029646000,False
500218,7,7,"[2,1,3,2,1,1,2]","[1,3,1,1,3,1,3]","[[0,1,2,4,5],[1,4],[1,2,3,4,5,6],[0,1,2,3,4,5,6],[1,3,5],[0],[0,2,3]]",FEASIBLE,FEASIBLE,null,0.720090000,0.110695000,False
500219,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.036081000,0.032657000,False
500220,5,5,"[2,1,3,2,2]","[1,1,3,2,1]","[[0,1,2,4],[0,1,2,3,4],[0,1,2,3,4],[0,2,3],[0,2,4]]",UNSAT,UNSAT,"[0,2,3,4]",0.110650000,0.065205000,False
500221,4,7,"[1,2,1,1]","[3,2,3,2,2,3,2]","[[0],[0,1,2,3,4,5,6],[0,1,3,4,5,6],[3]]",FEASIBLE,FEASIBLE,null,0.076766000,0.033708000,False
500222,5,7,"[2,1,1,1,2]","[2,3,3,3,3,3,2]","[[0,2,6],[1,2],[0,3,4,5],[3,4],[0,1,2,3,5]]",FEASIBLE,FEASIBLE,null,0.160513000,0.040451000,False
500223,2,6,"[2,3]","[3,1,1,2,1,2]","[[0,1,2,3,4],[3,4,5]]",FEASIBLE,FEASIBLE,null,0.014371000,0.026780000,False
500224,3,2,"[1,2,1]","[2,2]","[[0],[0,1],[0]]",UNSAT,UNSAT,"[0,1,2]",0.014605000,0.028797000,False
500225,1,3,[1],"[1,2,1]","[[0,1,2]]",FEASIBLE,FEASIBLE,null,0.003865000,0.012370000,False
500226,5,6,"[1,1,2,2,1]","[1,1,2,2,1,1]","[[0],[1,5],[2,3,4],[0,3,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.140994000,0.039398000,False
500227,1,7,[2],"[3,2,3,1,2,1,3]","[[3,4]]",FEASIBLE,FEASIBLE,null,0.006061000,0.016055000,False
500228,5,6,"[3,3,2,2,1]","[3,1,2,1,1,1]","[[0,1,3,4,5],[0,1,2,3,4,5],[0,2,5],[0,2,3,4],[2,3]]",UNSAT,UNSAT,"[0,1,2,3]",0.130388000,0.187731000,False
500229,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.009957000,0.035132000,False
500230,5,3,"[1,2,2,1,1]","[3,3,2]","[[0,1,2],[0,1,2],[0,1,2],[0],[2]]",FEASIBLE,FEASIBLE,null,0.079070000,0.042701000,False
500231,4,5,"[1,1,1,2]","[2,3,2,3,2]","[[1],[2,3,4],[0,1,3],[2,4]]",FEASIBLE,FEASIBLE,null,0.058835000,0.028512000,False
500232,2,5,"[2,2]","[1,1,2,1,2]","[[0,1,2,3,4],[0,3]]",FEASIBLE,FEASIBLE,null,0.012850000,0.031877000,False
500233,3,2,"[1,2,1]","[1,3]","[[0],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.009068000,0.029107000,False
500234,2,7,"[1,1]","[2,2,1,2,3,1,2]","[[0,2,3,4,6],[2,3,5,6]]",FEASIBLE,FEASIBLE,null,0.015991000,0.021794000,False
500235,6,2,"[1,1,1,1,1,2]","[1,2]","[[0],[1],[1],[0],[0],[0,1]]",UNSAT,UNSAT,"[0,3]",0.017213000,0.039517000,False
500236,2,2,"[2,2]","[3,2]","[[0,1],[0,1]]",FEASIBLE,FEASIBLE,null,0.007308000,0.019551000,False
500237,7,4,"[1,3,1,1,2,2,1]","[3,3,1,1]","[[2],[0,1,2,3],[0,1,2,3],[2,3],[0,1,2,3],[0,1],[1]]",UNSAT,UNSAT,"[0,1,3]",0.090490000,0.065114000,False
500238,4,4,"[1,3,1,1]","[3,1,1,1]","[[0,1,2,3],[0,1,3],[3],[0]]",UNSAT,UNSAT,"[1,2]",0.024783000,0.038010000,False
500239,1,1,[1],[2],[[0]],FEASIBLE,FEASIBLE,null,0.002687000,0.009884000,False
500240,4,4,"[2,1,2,1]","[2,3,3,2]","[[0,2,3],[0,3],[1,2,3],[3]]",FEASIBLE,FEASIBLE,null,0.048482000,0.030115000,False
500241,5,4,"[2,1,1,1,1]","[3,3,1,3]","[[0,1,2,3],[1],[0,1,2,3],[3],[3]]",FEASIBLE,FEASIBLE,null,0.100095000,0.032561000,False
500242,4,6,"[1,1,2,1]","[1,3,2,1,2,2]","[[0,1,2,3,4,5],[2,5],[1,2,3,4,5],[2]]",FEASIBLE,FEASIBLE,null,0.068351000,0.124139000,False
500243,6,2,"[2,1,2,2,1,1]","[2,1]","[[0,1],[1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[0,1]",0.013882000,0.044821000,False
500244,7,5,"[1,1,1,1,3,2,1]","[3,3,2,1,2]","[[0],[0,1,3,4],[0,1,2,3,4],[1,3,4],[0,1,2,3,4],[0,1,2,3,4],[4]]",FEASIBLE,FEASIBLE,null,0.523632000,0.065858000,False
500245,2,4,"[1,1]","[2,1,3,3]","[[0,1,2,3],[1,2,3]]",FEASIBLE,FEASIBLE,null,0.011243000,0.018498000,False
500246,4,4,"[1,2,1,3]","[1,2,3,3]","[[0],[1,2],[3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.048584000,0.031463000,False
500247,5,2,"[1,1,1,1,1]","[1,1]","[[1],[0],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,1,2]",0.029913000,0.037941000,False
500248,2,3,"[1,2]","[2,1,3]","[[1,2],[1,2]]",FEASIBLE,FEASIBLE,null,0.009079000,0.024767000,False
500249,7,7,"[1,3,3,3,1,3,2]","[2,3,1,2,1,2,3]","[[1,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[1,2,5,6],[0,1,3,5,6]]",UNSAT,UNSAT,"[0,1,2,3,5,6]",0.692390000,0.146384000,False
500250,6,4,"[3,2,2,1,1,1]","[1,2,1,3]","[[0,1,2,3],[0,1,3],[0,2,3],[0,3],[1],[1]]",UNSAT,UNSAT,"[0,1,2,3]",0.133483000,0.060070000,False
500251,5,5,"[1,2,1,3,2]","[2,3,1,3,2]","[[0,1,2,3,4],[0,2,3,4],[0,1,2,3],[0,2,3,4],[0,4]]",FEASIBLE,FEASIBLE,null,0.135975000,0.061923000,False
500252,3,2,"[1,1,1]","[3,3]","[[1],[0],[0,1]]",FEASIBLE,FEASIBLE,null,0.015295000,0.019992000,False
500253,3,4,"[1,3,1]","[3,2,3,1]","[[1],[0,1,3],[0]]",FEASIBLE,FEASIBLE,null,0.023285000,0.024360000,False
500254,3,2,"[1,1,1]","[2,2]","[[0],[1],[1]]",FEASIBLE,FEASIBLE,null,0.015662000,0.018302000,False
500255,3,4,"[1,1,2]","[2,2,3,3]","[[2],[2,3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.023434000,0.023769000,False
500256,6,6,"[2,1,3,3,2,2]","[3,1,3,3,2,2]","[[0,1,5],[1,2,3,5],[0,2,3,5],[1,4,5],[1,2],[0,1,2,3,4,5]]",UNSAT,UNSAT,"[3,4]",0.082063000,0.083068000,False
500257,4,6,"[3,2,3,2]","[3,1,1,1,2,3]","[[0,1,2,3,4,5],[0,1,2,3],[1,2,4,5],[0,1]]",FEASIBLE,FEASIBLE,null,0.069191000,0.075721000,False
500258,3,5,"[3,3,1]","[3,1,2,2,2]","[[0,1,2,3],[0,1,2,3,4],[4]]",FEASIBLE,FEASIBLE,null,0.027777000,0.033722000,False
500259,2,4,"[2,2]","[3,2,3,2]","[[2,3],[0,1,3]]",FEASIBLE,FEASIBLE,null,0.011088000,0.022138000,False
500260,7,4,"[1,2,1,1,2,3,2]","[1,3,1,3]","[[3],[0,3],[0,1,2,3],[3],[0,1,3],[0,1,2,3],[1,2]]",UNSAT,UNSAT,"[1,5,6]",0.169201000,0.066378000,False
500261,6,6,"[1,1,3,1,2,1]","[3,1,3,1,2,1]","[[3],[0,1,2],[0,2,3,4,5],[3],[2,3],[1,2,3,4,5]]",UNSAT,UNSAT,"[0,3]",0.038389000,0.056043000,False
500262,6,6,"[1,2,2,1,1,2]","[2,2,3,1,2,1]","[[2,3,4,5],[0,1,2,3,4,5],[0,1,2,4],[0,1,2],[0,1,2,3,4,5],[0,3,4]]",FEASIBLE,FEASIBLE,null,0.306195000,0.054830000,False
500263,3,5,"[3,2,3]","[2,2,2,2,3]","[[0,2,4],[2,4],[1,3,4]]",FEASIBLE,FEASIBLE,null,0.028708000,0.034125000,False
500264,3,2,"[1,1,1]","[1,2]","[[1],[0],[1]]",FEASIBLE,FEASIBLE,null,0.015441000,0.018499000,False
500265,5,2,"[1,2,1,1,2]","[1,3]","[[0,1],[0,1],[1],[0,1],[0,1]]",UNSAT,UNSAT,"[1,4]",0.023546000,0.137887000,False
500266,7,7,"[3,1,3,1,1,1,1]","[2,1,3,1,2,1,3]","[[1,2,3,4,6],[0,1,4,5],[0,1,3,4,5,6],[1],[2],[3,4],[6]]",FEASIBLE,FEASIBLE,null,0.734630000,0.075510000,False
500267,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.009145000,0.032810000,False
500268,7,4,"[3,1,2,1,1,1,2]","[3,3,1,1]","[[0,1,2,3],[2],[0,1,2],[0,1,2],[0,1,2,3],[0],[0,2]]",UNSAT,UNSAT,"[1,6]",0.056410000,0.087890000,False
500269,5,5,"[3,1,1,3,2]","[1,1,3,3,2]","[[1,2,3,4],[0,2],[0,1,3,4],[0,1,2,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.125529000,0.053048000,False
500270,6,2,"[1,1,1,2,1,1]","[1,1]","[[1],[0,1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[0,3]",0.018477000,0.044222000,False
500271,7,1,"[1,1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.011121000,0.050644000,False
500272,5,2,"[1,1,1,2,2]","[2,1]","[[0,1],[0,1],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[3,4]",0.028614000,0.042810000,False
500273,1,4,[3],"[1,3,1,2]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004826000,0.018814000,False
500274,5,4,"[3,1,1,1,2]","[2,3,3,1]","[[0,1,2,3],[0,1,2,3],[0,1,3],[2],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.104388000,0.041267000,False
500275,4,2,"[1,1,1,1]","[2,3]","[[1],[0],[0],[0]]",UNSAT,UNSAT,"[1,2,3]",0.028054000,0.031010000,False
500276,7,1,"[1,1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.081261000,0.041346000,False
500277,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006872000,0.026289000,False
500278,1,2,[1],"[3,3]",[[1]],FEASIBLE,FEASIBLE,null,0.003654000,0.011291000,False
500279,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007044000,0.118279000,False
500280,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.015800000,0.030791000,False
500281,2,2,"[2,2]","[1,3]","[[0,1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.007892000,0.028762000,False
500282,2,7,"[1,3]","[1,2,1,2,3,3,3]","[[0,1,2,4],[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,null,0.017072000,0.030311000,False
500283,1,5,[1],"[2,3,1,2,3]",[[4]],FEASIBLE,FEASIBLE,null,0.005335000,0.013048000,False
500284,7,2,"[1,1,1,1,2,1,1]","[3,3]","[[1],[1],[1],[1],[0,1],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.125969000,0.047632000,False
500285,7,3,"[1,1,2,1,1,1,2]","[1,3,1]","[[1,2],[1],[0,2],[1,2],[1],[0],[0,1,2]]",UNSAT,UNSAT,"[2,5]",0.053659000,0.055100000,False
500286,3,2,"[2,2,1]","[3,1]","[[0,1],[0,1],[0]]",UNSAT,UNSAT,"[0,1]",0.009424000,0.032936000,False
500287,5,3,"[1,2,1,2,2]","[2,1,2]","[[0],[0,1,2],[1],[0,1],[0,2]]",UNSAT,UNSAT,"[2,3]",0.033366000,0.061849000,False
500288,5,4,"[1,1,2,2,2]","[2,1,2,1]","[[0],[0,2,3],[0,1,2,3],[1,2],[1,2]]",UNSAT,UNSAT,"[3,4]",0.048298000,0.084527000,False
500289,2,4,"[2,1]","[3,3,1,3]","[[0,1],[0,3]]",FEASIBLE,FEASIBLE,null,0.011708000,0.020156000,False
500290,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,null,0.011574000,0.018233000,False
500291,4,3,"[3,1,1,2]","[3,1,3]","[[0,1,2],[0,1,2],[2],[0,2]]",FEASIBLE,FEASIBLE,null,0.042316000,0.033352000,False
500292,2,6,"[3,3]","[2,3,3,3,3,1]","[[0,3,4,5],[0,1,2,4,5]]",FEASIBLE,FEASIBLE,null,0.015366000,0.030979000,False
500293,4,6,"[2,1,3,1]","[1,2,2,3,3,3]","[[0,1,2,5],[3],[0,1,4],[1]]",FEASIBLE,FEASIBLE,null,0.074976000,0.050952000,False
500294,5,5,"[1,1,3,1,3]","[1,2,1,1,3]","[[2,3],[0,1,2,3,4],[0,1,2,3],[0,2,3,4],[1,2,3,4]]",UNSAT,UNSAT,"[0,2,4]",0.082379000,0.177781000,False
500295,5,6,"[2,1,2,2,2]","[3,2,3,2,3,1]","[[1,4],[0,1,3,4,5],[1,2,3,4,5],[4,5],[0,2,3,5]]",FEASIBLE,FEASIBLE,null,0.169523000,0.049265000,False
500296,3,3,"[2,1,3]","[1,1,2]","[[0,1,2],[0,1],[0,1,2]]",UNSAT,UNSAT,"[0,2]",0.015034000,0.053414000,False
500297,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.010707000,0.038601000,False
500298,2,1,"[1,1]",[3],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.006478000,0.015168000,False
500299,5,4,"[1,1,1,1,2]","[2,2,2,2]","[[3],[2,3],[0,1],[1],[0,2,3]]",FEASIBLE,FEASIBLE,null,0.110586000,0.033969000,False
500300,1,1,[1],[2],[[0]],FEASIBLE,FEASIBLE,null,0.008195000,0.020295000,False
500301,6,3,"[1,2,2,1,3,1]","[3,3,1]","[[1],[0,1,2],[0,1,2],[2],[0,1,2],[1]]",UNSAT,UNSAT,"[3,4]",0.051004000,0.211835000,False
500302,1,6,[1],"[1,2,2,3,3,1]",[[4]],FEASIBLE,FEASIBLE,null,0.006502000,0.016910000,False
500303,2,5,"[3,1]","[1,2,3,1,2]","[[0,2,3],[2,3,4]]",FEASIBLE,FEASIBLE,null,0.014298000,0.026971000,False
500304,4,6,"[1,2,2,1]","[1,2,1,2,3,1]","[[1,2,3],[0,1,2,3,4],[0,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.076484000,0.045341000,False
500305,7,7,"[1,3,2,2,1,3,1]","[3,1,3,1,3,1,3]","[[6],[0,4,6],[4,6],[0,1,3,4,6],[0,2,3,6],[0,2,3,4],[1,2]]",FEASIBLE,FEASIBLE,null,0.833388000,0.089146000,False
500306,6,6,"[3,3,2,1,1,3]","[3,2,2,3,3,3]","[[0,2,3],[1,3,5],[0,2,4,5],[0,1,2,4,5],[0,2,5],[0,1,2,4,5]]",FEASIBLE,FEASIBLE,null,0.313094000,0.065064000,False
500307,1,3,[1],"[3,2,1]","[[0,1,2]]",FEASIBLE,FEASIBLE,null,0.004401000,0.135245000,False
500308,3,2,"[2,1,1]","[1,2]","[[0,1],[1],[1]]",UNSAT,UNSAT,"[0,1,2]",0.015623000,0.049721000,False
500309,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.010396000,0.052786000,False
500310,1,5,[2],"[1,1,2,2,3]","[[0,3]]",FEASIBLE,FEASIBLE,null,0.005620000,0.015975000,False
500311,5,4,"[1,1,1,2,1]","[3,1,2,2]","[[0,2,3],[0],[2,3],[1,2,3],[2]]",FEASIBLE,FEASIBLE,null,0.106524000,0.042891000,False
500312,5,6,"[1,1,1,1,2]","[3,2,3,3,1,1]","[[0],[0,3],[0,2],[0,1,2,3,4],[0,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.145953000,0.039643000,False
500313,7,4,"[2,1,1,3,1,1,1]","[3,1,1,2]","[[0,1],[3],[1],[0,2,3],[0],[2],[1]]",UNSAT,UNSAT,"[0,2]",0.028110000,0.053506000,False
500314,6,3,"[1,3,1,1,2,1]","[3,2,1]","[[2],[0,1,2],[0,1,2],[0,1,2],[0,1,2],[1]]",UNSAT,UNSAT,"[0,1]",0.017866000,0.070503000,False
500315,4,7,"[2,3,3,1]","[2,1,3,3,1,3,1]","[[0,1,2,3,4,5,6],[0,2,6],[0,1,3,4,5,6],[2,6]]",FEASIBLE,FEASIBLE,null,0.080815000,0.048525000,False
500316,4,4,"[1,3,2,3]","[1,2,3,3]","[[0,1,3],[0,1,3],[1,2],[0,1,2,3]]",UNSAT,UNSAT,"[1,2,3]",0.045990000,0.080322000,False
500317,1,5,[3],"[1,3,1,1,1]","[[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.005447000,0.020381000,False
500318,4,7,"[1,1,3,1]","[2,2,2,2,2,3,2]","[[1],[6],[0,2,3,5,6],[2,5]]",FEASIBLE,FEASIBLE,null,0.078588000,0.033394000,False
500319,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.037219000,0.041632000,False
500320,3,2,"[2,1,2]","[1,2]","[[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,2]",0.011520000,0.133035000,False
